id,stranka,sekce,typ,soucasne_copy,nove_copy,poznamka
"shared.footer.col3_kontakt","(vsechny)","Patička (SiteFooter)","Odkaz","Kontakt","","nasledovano sipkou ↗"
"shared.footer.logo_aria","(vsechny)","Patička (SiteFooter)","Popisek-obrazku","Vzpomínkář","","aria-label loga v paticce"
"shared.footer.copyright","(vsechny)","Patička (SiteFooter)","Poznamka","© 2026 Vzpomínkář","",""
"shared.footer.podminky","(vsechny)","Patička (SiteFooter)","Odkaz","Podmínky","","odkaz na /podminky; pravni text — pravdepodobne nemenit"
"shared.footer.soukromi","(vsechny)","Patička (SiteFooter)","Odkaz","Soukromí","","odkaz na /soukromi; pravni text — pravdepodobne nemenit"
"shared.footer.cookies","(vsechny)","Patička (SiteFooter)","Odkaz","Cookies","","odkaz na /cookies; pravni text — pravdepodobne nemenit"
"shared.promo.text","(vsechny)","Promo lišta (Promo)","Stitek","Sleva 200 Kč pro nové rodiny — pošleme e-mailem","",""
"shared.promo.badge","(vsechny)","Promo lišta (Promo)","Stitek","ochutnávka","","mala verzalkova plaketka v promo liste"
"shared.cookie.dialog_aria","(vsechny)","Cookie lišta (CookieConsent)","Popisek-obrazku","Souhlas s cookies","","aria-label dialogu cookie listy"
"shared.cookie.title","(vsechny)","Cookie lišta (CookieConsent)","Nadpis","Drobečky v paměti","","predchazi emoji 🍪"
"shared.cookie.body","(vsechny)","Cookie lišta (CookieConsent)","Odstavec","Nezbytné cookies drží vaše přihlášení a hladký chod aplikace. S vaším svolením přidáme i ty, díky kterým web vylepšujeme a ukážeme vám ho lépe — nikomu nic neprodáváme. Vše popisujeme v zásadách cookies.","","obsahuje vnoreny odkaz ""zásadách cookies"" na /cookies; pravni text — pravdepodobne nemenit"
"shared.cookie.link_inline","(vsechny)","Cookie lišta (CookieConsent)","Odkaz","zásadách cookies","","vnoreny odkaz v textu na /cookies"
"shared.cookie.btn_essential","(vsechny)","Cookie lišta (CookieConsent)","Tlacitko","Jen nezbytné","","max ~25 znaku (tlacitko)"
"shared.cookie.btn_all","(vsechny)","Cookie lišta (CookieConsent)","Tlacitko","Přijmout vše","","nasledovano sipkou ↗; max ~25 znaku (tlacitko)"
"shared.deck.footnote","(vsechny)","Otázky / QuestionDeck (footnote)","Poznamka","A dalších {pocet} otázek, na které možná nikdy nedostanete odpověď. Pokud se nezeptáte.","","dynamicke: {pocet} = totalCount - count (pocet zbyvajicich otazek) — cislo musi zustat"
"shared.deck.prev_aria","(vsechny)","Otázky / QuestionDeck","Popisek-obrazku","Předchozí otázka","","aria-label sipky zpet"
"shared.deck.next_aria","(vsechny)","Otázky / QuestionDeck","Popisek-obrazku","Další otázka","","aria-label sipky vpred"
"shared.deck.dot_aria","(vsechny)","Otázky / QuestionDeck","Popisek-obrazku","Otázka {cislo}","","dynamicke: {cislo} = poradi otazky (i+1) — aria-label tecky strankovani; cislo musi zustat"
"shared.testimonial.stars","(vsechny)","Reference (TestimonialCarousel)","Stitek","★★★★★","","staticke hodnoceni hvezdickami u kazde reference; vlastni texty referenci jsou definovany na domovske strance (app/page.tsx), ne v teto sdilene komponente"
