id,stranka,sekce,typ,soucasne_copy,nove_copy,poznamka
"podminky.odvas.item1","/podminky","7. Co od vás chceme","Odrazka","Aby vyprávějící senior věděl, že jeho odpovědi nahráváme — a souhlasil s tím.","","pravni text — pravdepodobne nemenit"
"podminky.odvas.item2","/podminky","7. Co od vás chceme","Odrazka","Aby fotky a vzpomínky, které do služby vložíte, byly skutečně vaše nebo vaší rodiny. Cizí obsah do knihy nepatří.","","pravni text — pravdepodobne nemenit"
"podminky.odvas.item3","/podminky","7. Co od vás chceme","Odrazka","Aby se služba nepoužívala k šíření nenávisti, urážek nebo nezákonného obsahu. V takovém případě si vyhrazujeme právo účet zrušit.","","pravni text — pravdepodobne nemenit"
"podminky.odnas.h2","/podminky","8. Co můžete očekávat od nás","Nadpis","8. Co můžete očekávat od nás","",""
"podminky.odnas.item1","/podminky","8. Co můžete očekávat od nás","Odrazka","Že vám služba pojede — cílíme na 99,5 % dostupnosti měsíčně.","","pravni text — pravdepodobne nemenit"
"podminky.odnas.item2","/podminky","8. Co můžete očekávat od nás","Odrazka","Že na vás budeme reagovat osobně, ne přes chatbota. Většinu drobností vyřešíme do jednoho pracovního dne.","","pravni text — pravdepodobne nemenit"
"podminky.odnas.item3","/podminky","8. Co můžete očekávat od nás","Odrazka","Že vás budeme upozorňovat na podstatné změny podmínek — e-mailem, ne v patičce stránky.","","pravni text — pravdepodobne nemenit"
"podminky.ukonceni.h2","/podminky","9. Ukončení účtu","Nadpis","9. Ukončení účtu","",""
"podminky.ukonceni.body","/podminky","9. Ukončení účtu","Odstavec","Účet můžete zrušit kdykoliv z nastavení. Veškerá data smažeme do 30 dnů, pokud si je předtím nestáhnete. Některé technické záznamy (např. logy plateb) si ze zákona musíme nechat — ty smažeme po uplynutí zákonné lhůty.","","pravni text — pravdepodobne nemenit"
"podminky.zmeny.h2","/podminky","10. Změny podmínek","Nadpis","10. Změny podmínek","",""
"podminky.zmeny.body","/podminky","10. Změny podmínek","Odstavec","Pokud podmínky upravíme, dáme vám vědět e-mailem alespoň 30 dnů předem. Pokud se změnou nesouhlasíte, máte právo účet zrušit s vrácením poměrné části platby.","","pravni text — pravdepodobne nemenit"
"podminky.pravo.h2","/podminky","11. Rozhodné právo","Nadpis","11. Rozhodné právo","",""
"podminky.pravo.body","/podminky","11. Rozhodné právo","Odstavec","Smluvní vztah se řídí českým právním řádem. Pro spotřebitelské spory platí mimosoudní řešení prostřednictvím České obchodní inspekce.","","pravni text — pravdepodobne nemenit; obsahuje odkaz na adr.coi.cz"
"podminky.zaver.body","/podminky","Závěr","Odstavec","Otázky? Napište nám na kontakt — odpovídáme osobně.","","obsahuje odkaz na /kontakt"
"soukromi.meta.titulek","/soukromi","Metadata","SEO-titulek","Ochrana soukromí","","SEO titulek — ideal do 60 znaku"
"soukromi.meta.popis","/soukromi","Metadata","SEO-popis","Jak ve Vzpomínkáři zacházíme s vašimi daty, vzpomínkami a fotkami — bez právnického jazyka.","","SEO popis — ideal do 155 znaku"
"soukromi.hero.eyebrow","/soukromi","Hero","Eyebrow","Ochrana soukromí","",""
"soukromi.hero.h1","/soukromi","Hero","Nadpis","Vaše vzpomínky patří vám.","",""
"soukromi.hero.intro","/soukromi","Hero","Podnadpis","Tady stojí, jak s daty zacházíme — lidsky a bez právnického balastu. Plné znění (GDPR) je dole.","",""
"soukromi.hero.updated","/soukromi","Hero","Poznamka","Naposledy upraveno · 21. 5. 2026","","datum je vlastnost updatedAt v komponente"
"soukromi.kratce.h2","/soukromi","Co krátce","Nadpis","Co krátce","",""
"soukromi.kratce.body","/soukromi","Co krátce","Odstavec","Audio nahrávky, fotky a texty vašich rodičů ukládáme do soukromého úložiště, ke kterému má přístup jen vaše rodina. My data zpracováváme proto, abychom službu mohli provozovat — nikomu je neprodáváme a nepoužíváme je k trénování umělé inteligence třetích stran. Měřicí a marketingové nástroje (Google Analytics, Meta Pixel) zapínáme jen tehdy, když nám k tomu dáte souhlas v cookie liště — a obsah vašich vzpomínek (nahrávky, přepisy, fotky) jim nepředáváme nikdy. Můžete si všechna data kdykoliv stáhnout nebo nás požádat o jejich smazání. Vyřídíme do 30 dnů.","","pravni text — pravdepodobne nemenit"
"soukromi.spravce.h2","/soukromi","Kdo je správce dat","Nadpis","Kdo je správce dat","",""
"soukromi.spravce.body","/soukromi","Kdo je správce dat","Odstavec","Správcem osobních údajů je Vzpomínkář, s. r. o., se sídlem v Praze. Kontaktní e-mail je uveden na stránce kontakt.","","pravni text — pravdepodobne nemenit; obsahuje odkaz na /kontakt"
"soukromi.udaje.h2","/soukromi","Jaké údaje zpracováváme","Nadpis","Jaké údaje zpracováváme","",""
"soukromi.udaje.ucet.h3","/soukromi","Jaké údaje zpracováváme","Podnadpis","Účet a kontakt","",""
"soukromi.udaje.ucet.item1","/soukromi","Jaké údaje zpracováváme","Odrazka","E-mailová adresa rodinného správce a jeho jméno.","","pravni text — pravdepodobne nemenit"
"soukromi.udaje.ucet.item2","/soukromi","Jaké údaje zpracováváme","Odrazka","Uživatelské jméno a heslo seniora (heslo ukládáme jen jako jednosměrný otisk — nikdo, ani my, ho nedokáže přečíst zpět).","","pravni text — pravdepodobne nemenit"
"soukromi.udaje.ucet.item3","/soukromi","Jaké údaje zpracováváme","Odrazka","Údaje pro fakturaci a doručení tištěné knihy.","","pravni text — pravdepodobne nemenit"
"soukromi.udaje.obsah.h3","/soukromi","Jaké údaje zpracováváme","Podnadpis","Obsahová data (vzpomínky)","",""
"soukromi.udaje.obsah.item1","/soukromi","Jaké údaje zpracováváme","Odrazka","Hlasové nahrávky odpovědí seniora.","","pravni text — pravdepodobne nemenit"
"soukromi.udaje.obsah.item2","/soukromi","Jaké údaje zpracováváme","Odrazka","Textové přepisy a jejich uživatelské úpravy.","","pravni text — pravdepodobne nemenit"
"soukromi.udaje.obsah.item3","/soukromi","Jaké údaje zpracováváme","Odrazka","Fotografie nahrané do rodinné knihovny.","","pravni text — pravdepodobne nemenit"
"soukromi.udaje.provoz.h3","/soukromi","Jaké údaje zpracováváme","Podnadpis","Provozní data","",""
"soukromi.udaje.provoz.item1","/soukromi","Jaké údaje zpracováváme","Odrazka","Anonymizované údaje o tom, které stránky služby si načítáte (kvůli vylepšování).","","pravni text — pravdepodobne nemenit"
"soukromi.udaje.provoz.item2","/soukromi","Jaké údaje zpracováváme","Odrazka","Záznamy o přihlášení a platebních operacích.","","pravni text — pravdepodobne nemenit"
"soukromi.proc.h2","/soukromi","Proč data zpracováváme","Nadpis","Proč data zpracováváme","",""
"soukromi.proc.item1","/soukromi","Proč data zpracováváme","Odrazka","Plnění smlouvy — abychom mohli službu provozovat: ukládat odpovědi, posílat týdenní otázky, vyrobit knihu.","","pravni text — pravdepodobne nemenit"
"soukromi.proc.item2","/soukromi","Proč data zpracováváme","Odrazka","Oprávněný zájem — bezpečnost účtu, prevence podvodů, anonymní statistiky pro zlepšování produktu.","","pravni text — pravdepodobne nemenit"
"soukromi.proc.item3","/soukromi","Proč data zpracováváme","Odrazka","Zákonné povinnosti — účetnictví, daně, povinné archivace.","","pravni text — pravdepodobne nemenit"
"soukromi.proc.item4","/soukromi","Proč data zpracováváme","Odrazka","Souhlas — pouze tam, kde to zákon vyžaduje (např. marketingové e-maily, které posíláme jen po výslovném souhlasu).","","pravni text — pravdepodobne nemenit"
"soukromi.predani.h2","/soukromi","Komu data předáváme","Nadpis","Komu data předáváme","",""
"soukromi.predani.intro","/soukromi","Komu data předáváme","Odstavec","Pouze poskytovatelům, bez kterých služba nemůže fungovat. Všichni mají s námi uzavřenou zpracovatelskou smlouvu (DPA):","","pravni text — pravdepodobne nemenit"
"soukromi.predani.supabase","/soukromi","Komu data předáváme","Odstavec","Supabase — Databáze a úložiště souborů. Servery v EU (eu-central-1, Frankfurt).","","pravni text — pravdepodobne nemenit"
"soukromi.predani.vercel","/soukromi","Komu data předáváme","Odstavec","Vercel — Provoz webové aplikace.","","pravni text — pravdepodobne nemenit"
"soukromi.predani.stripe","/soukromi","Komu data předáváme","Odstavec","Stripe — Zpracování plateb. Údaje o kartě nikdy nevidíme — chodí přímo do Stripe.","","pravni text — pravdepodobne nemenit"
"soukromi.predani.resend","/soukromi","Komu data předáváme","Odstavec","Resend — Rozesílání transakčních e-mailů (potvrzení registrace, týdenní otázky).","","pravni text — pravdepodobne nemenit"
"soukromi.predani.smsbrana","/soukromi","Komu data předáváme","Odstavec","SMS brána (smsbrana s. r. o., ČR) — Rozesílání týdenních otázek formou SMS — jen pokud si rodina zvolí doručování přes SMS. Předáváme jen telefonní číslo a text otázky. Viz „Otázky přes SMS a WhatsApp“ níže.","","pravni text — pravdepodobne nemenit"
"soukromi.predani.meta.whatsapp","/soukromi","Komu data předáváme","Odstavec","Meta (WhatsApp — Meta Platforms Ireland Ltd.) — Doručení týdenních otázek přes WhatsApp — jen pokud si rodina zvolí tento kanál. Předáváme jen telefonní číslo a text otázky. Meta může část údajů zpracovávat i mimo EU (USA) na základě standardních smluvních doložek. Viz „Otázky přes SMS a WhatsApp“ níže.","","pravni text — pravdepodobne nemenit"
"soukromi.predani.openai","/soukromi","Komu data předáváme","Odstavec","OpenAI (USA) — Přepis hlasových nahrávek (Whisper) a korektura textu (GPT-4o mini). Data se nepoužívají k trénování modelů; OpenAI je uchovává nejdéle 30 dnů kvůli prevenci zneužití. Přenos do USA na základě standardních smluvních doložek.","","pravni text — pravdepodobne nemenit"
"soukromi.predani.tiskarna","/soukromi","Komu data předáváme","Odstavec","Tiskárna v ČR — Po objednávce knihy předáváme tiskárně PDF s obsahem a adresu pro doručení. Tiskárna data po vyrobení knihy maže.","","pravni text — pravdepodobne nemenit"
"soukromi.predani.google","/soukromi","Komu data předáváme","Odstavec","Google (Google Analytics) — Anonymizovaná statistika návštěvnosti webu — jen pokud k tomu dáte souhlas v cookie liště. Viz „Analytika a marketingové nástroje“ níže.","","pravni text — pravdepodobne nemenit"
"soukromi.predani.metapixel","/soukromi","Komu data předáváme","Odstavec","Meta (Meta Pixel) — Měření účinnosti naší reklamy na Facebooku a Instagramu — jen s vaším souhlasem. Viz „Analytika a marketingové nástroje“ níže.","","pravni text — pravdepodobne nemenit"
"soukromi.uchovani.h2","/soukromi","Jak dlouho data uchováváme","Nadpis","Jak dlouho data uchováváme","",""
"soukromi.uchovani.item1","/soukromi","Jak dlouho data uchováváme","Odrazka","Vzpomínky a obsah knihovny — po celou dobu existence účtu. Online přístup je trvalý.","","pravni text — pravdepodobne nemenit"
"soukromi.uchovani.item2","/soukromi","Jak dlouho data uchováváme","Odrazka","Účetní doklady — po zákonem stanovenou dobu (10 let).","","pravni text — pravdepodobne nemenit"
"soukromi.uchovani.item3","/soukromi","Jak dlouho data uchováváme","Odrazka","Logy a technické záznamy — nejdéle 12 měsíců.","","pravni text — pravdepodobne nemenit"
"soukromi.uchovani.item4","/soukromi","Jak dlouho data uchováváme","Odrazka","Po zrušení účtu — obsah smažeme do 30 dnů.","","pravni text — pravdepodobne nemenit"
"soukromi.prava.h2","/soukromi","Vaše práva","Nadpis","Vaše práva","",""
"soukromi.prava.intro","/soukromi","Vaše práva","Odstavec","Podle GDPR máte právo na:","","pravni text — pravdepodobne nemenit"
"soukromi.prava.item1","/soukromi","Vaše práva","Odrazka","Přístup k datům, která o vás máme.","","pravni text — pravdepodobne nemenit"
"soukromi.prava.item2","/soukromi","Vaše práva","Odrazka","Opravu nepřesných údajů.","","pravni text — pravdepodobne nemenit"
"soukromi.prava.item3","/soukromi","Vaše práva","Odrazka","Smazání („právo být zapomenut“).","","pravni text — pravdepodobne nemenit"
"soukromi.prava.item4","/soukromi","Vaše práva","Odrazka","Přenositelnost — export ve strojově čitelném formátu.","","pravni text — pravdepodobne nemenit"
"soukromi.prava.item5","/soukromi","Vaše práva","Odrazka","Omezení zpracování.","","pravni text — pravdepodobne nemenit"
"soukromi.prava.item6","/soukromi","Vaše práva","Odrazka","Vznesení námitky proti zpracování.","","pravni text — pravdepodobne nemenit"
"soukromi.prava.item7","/soukromi","Vaše práva","Odrazka","Podání stížnosti u Úřadu pro ochranu osobních údajů.","","pravni text — pravdepodobne nemenit; obsahuje odkaz na uoou.cz"
"soukromi.prava.body","/soukromi","Vaše práva","Odstavec","Pro uplatnění kteréhokoliv práva nám stačí napsat na e-mail uvedený v kontaktech.","","pravni text — pravdepodobne nemenit"
"soukromi.bezpecnost.h2","/soukromi","Bezpečnost","Nadpis","Bezpečnost","",""
"soukromi.bezpecnost.body","/soukromi","Bezpečnost","Odstavec","Audio i fotky leží v privátním úložišti za vrstvou Row-Level Security. Stahovací odkazy mají krátkou platnost (15 minut), takže se nedají sdílet dál. Hesla seniorů ukládáme jen jako Argon2-hash. K produkčním datům mají přístup dva lidé z týmu, oba s dvoufaktorovou autentizací.","","pravni text — pravdepodobne nemenit"
"soukromi.cookies.h2","/soukromi","Cookies","Nadpis","Cookies","",""
"soukromi.cookies.body","/soukromi","Cookies","Odstavec","Používáme jen nezbytné cookies pro přihlášení a preference. Žádné marketingové ani trackingové cookies bez vašeho souhlasu. Detaily v samostatném dokumentu cookies.","","pravni text — pravdepodobne nemenit; obsahuje odkaz na /cookies"
"soukromi.analytika.h2","/soukromi","Analytika a marketingové nástroje","Nadpis","Analytika a marketingové nástroje","",""
"soukromi.analytika.intro","/soukromi","Analytika a marketingové nástroje","Odstavec","Abychom rozuměli tomu, jak se web používá, a mohli ho zlepšovat, využíváme měřicí a marketingové nástroje třetích stran. Spouštíme je výhradně tehdy, když k tomu dáte souhlas v cookie liště (volba „Souhlasím se vším“). Pokud zvolíte „Pouze nezbytné“, vůbec se nenačtou.","","pravni text — pravdepodobne nemenit"
"soukromi.analytika.ga4","/soukromi","Analytika a marketingové nástroje","Odstavec","Google Analytics 4 (Google Ireland Ltd.) — Anonymizovaná statistika návštěvnosti — které stránky si lidé prohlížejí, odkud přicházejí a jak se po webu pohybují. IP adresu zkracujeme. Google může část údajů zpracovávat i mimo EU (USA) na základě standardních smluvních doložek. Právní základ: váš souhlas.","","pravni text — pravdepodobne nemenit"
"soukromi.analytika.metapixel","/soukromi","Analytika a marketingové nástroje","Odstavec","Meta Pixel (Meta Platforms Ireland Ltd.) — Měření účinnosti naší reklamy na Facebooku a Instagramu (například že jste přišli z reklamy a dokončili objednávku) a sestavování reklamních publik. Meta přitom zpracovává údaje ve svých systémech, případně i mimo EU (USA) na základě standardních smluvních doložek. Právní základ: váš souhlas.","","pravni text — pravdepodobne nemenit"
"soukromi.analytika.odvolani","/soukromi","Analytika a marketingové nástroje","Odstavec","Souhlas můžete kdykoliv odvolat — smažte cookies ve svém prohlížeči nebo nám napište. Měřicím ani reklamním nástrojům nikdy nepředáváme obsah vašich vzpomínek (nahrávky, přepisy ani fotky).","","pravni text — pravdepodobne nemenit"
"soukromi.ai.h2","/soukromi","AI a přepisy","Nadpis","AI a přepisy","",""
"soukromi.ai.body","/soukromi","AI a přepisy","Odstavec","Hlasové nahrávky převádíme do textu a lehce upravujeme pomocí služeb OpenAI (model Whisper pro přepis a GPT-4o mini pro korekturu a doplnění roku). Audio i text se k OpenAI posílají zabezpečeně přes šifrované spojení. OpenAI je americká společnost, data se proto zpracovávají i mimo EU (USA) na základě standardních smluvních doložek. Podle podmínek OpenAI API se vaše data nepoužívají k trénování jejich modelů; OpenAI je smí dočasně uchovat (nejdéle 30 dnů) výhradně kvůli prevenci zneužití, poté je maže. Přepis je jádrem naší služby, takže právním základem je plnění smlouvy.","","pravni text — pravdepodobne nemenit"
"soukromi.sms.h2","/soukromi","Otázky přes SMS a WhatsApp","Nadpis","Otázky přes SMS a WhatsApp","",""
"soukromi.sms.intro","/soukromi","Otázky přes SMS a WhatsApp","Odstavec","Tato část je určena vyprávějícímu (seniorovi), kterému posíláme týdenní otázky na jeho telefonní číslo. Slouží zároveň jako informace podle čl. 14 GDPR — protože telefonní číslo jsme nezískali přímo od něj.","","pravni text — pravdepodobne nemenit"
"soukromi.sms.kdo","/soukromi","Otázky přes SMS a WhatsApp","Odstavec","Kdo údaje zpracovává — Správcem je Vzpomínkář, s. r. o. Kontakt najdete na stránce kontakt.","","pravni text — pravdepodobne nemenit; obsahuje odkaz na /kontakt"
"soukromi.sms.zdroj","/soukromi","Otázky přes SMS a WhatsApp","Odstavec","Odkud máme telefonní číslo (zdroj údajů) — Telefonní číslo nám neposkytl sám senior, ale člen jeho rodiny, který ho do Vzpomínkáře přidal a potvrdil, že seniora osobně zná, má souhlas k uvedení jeho čísla a že seniora informoval, že mu na toto číslo budeme posílat týdenní otázky.","","pravni text — pravdepodobne nemenit"
"soukromi.sms.ucel","/soukromi","Otázky přes SMS a WhatsApp","Odstavec","Jaké údaje a proč (účel) — Zpracováváme pouze jméno a jedno telefonní číslo seniora. Účelem je doručit jednou týdně jednu otázku k zavzpomínání, aby si rodina mohla uložit vyprávění svého blízkého. Nejde o reklamu — je to provozní (servisní) zpráva, kterou si rodina objednala. Zprávy neobsahují žádné nabídky ani odkazy na objednání.","","pravni text — pravdepodobne nemenit"
"soukromi.sms.zaklad","/soukromi","Otázky přes SMS a WhatsApp","Odstavec","Právní základ — Oprávněný zájem rodiny zaznamenat vzpomínky svého blízkého a náš oprávněný zájem službu poskytnout (čl. 6 odst. 1 písm. f) GDPR). Posouzení vyváženosti (LIA) máme zdokumentované a na vyžádání ho poskytneme.","","pravni text — pravdepodobne nemenit"
"soukromi.sms.prijemci","/soukromi","Otázky přes SMS a WhatsApp","Odstavec","Komu číslo předáváme (příjemci) — Podle zvoleného kanálu buď smsbrana s. r. o. (SMS, ČR), nebo Meta Platforms Ireland Ltd. (WhatsApp). Předáváme jen telefonní číslo a text otázky, výhradně kvůli doručení zprávy.","","pravni text — pravdepodobne nemenit"
"soukromi.sms.doba","/soukromi","Otázky přes SMS a WhatsApp","Odstavec","Jak dlouho údaje uchováváme (doba uložení) — Po dobu, kdy rodina službu používá. Po odhlášení odběru nebo zrušení účtu telefonní číslo z rozesílání odstraníme; provozní záznam o odhlášení si ponecháme jen po nezbytně nutnou dobu jako doklad, že už zprávy neposíláme.","","pravni text — pravdepodobne nemenit"
"soukromi.sms.odhlaseni","/soukromi","Otázky přes SMS a WhatsApp","Odstavec","Vaše právo se kdykoliv odhlásit — V každé zprávě je odkaz „Proč vám píšeme a jak se odhlásit“. Jedním klepnutím na něj posílání okamžitě zastavíte — bez přihlašování a bez vysvětlování. Máte také právo vznést námitku proti zpracování a všechna ostatní práva uvedená výše v části „Vaše práva“.","","pravni text — pravdepodobne nemenit"
"soukromi.sms.stop","/soukromi","Otázky přes SMS a WhatsApp","Odstavec","Odpovědět na SMS slovem „STOP“ bohužel nestačí — číslo odesílatele je jednosměrné, proto se odhlašuje vždy odkazem ve zprávě.","","pravni text — pravdepodobne nemenit"
"soukromi.zaver.body","/soukromi","Závěr","Odstavec","Pokud máte jakoukoliv pochybnost o tom, co se s vašimi daty děje, napište nám. Odpovídá vám člověk, ne robot.","",""
"cookies.meta.titulek","/cookies","Metadata","SEO-titulek","Cookies","","SEO titulek — ideal do 60 znaku"
"cookies.meta.popis","/cookies","Metadata","SEO-popis","Jaké cookies Vzpomínkář používá, k čemu jsou potřeba a jak je můžete vypnout.","","SEO popis — ideal do 155 znaku"
"cookies.hero.eyebrow","/cookies","Hero","Eyebrow","Cookies","",""
"cookies.hero.h1","/cookies","Hero","Nadpis","Co o vás ukládáme do prohlížeče.","",""
"cookies.hero.intro","/cookies","Hero","Podnadpis","Přiznáváme se ke každému cookie, který používáme. Žádné skryté trackery, žádné reklamní sítě.","",""
"cookies.hero.updated","/cookies","Hero","Poznamka","Naposledy upraveno · 21. 5. 2026","","datum je vlastnost updatedAt v komponente"
"cookies.coje.h2","/cookies","Co je cookie","Nadpis","Co je cookie","",""
"cookies.coje.body","/cookies","Co je cookie","Odstavec","Cookie je krátký textový soubor, který si váš prohlížeč ukládá, abychom si vás při další návštěvě pamatovali — třeba aby vás nemusel odhlašovat při každém kliknutí. Některé cookies stránka potřebuje, aby vůbec fungovala. Jiné jsou volitelné a můžete je odmítnout.","","pravni text — pravdepodobne nemenit"
"cookies.jake.h2","/cookies","Jaké cookies používáme","Nadpis","Jaké cookies používáme","",""
"cookies.jake.nezbytne.h3","/cookies","Jaké cookies používáme","Podnadpis","Nezbytné — vždy zapnuté","",""
"cookies.jake.nezbytne.intro","/cookies","Jaké cookies používáme","Odstavec","Bez nich by služba nefungovala. Souhlas se nevyžaduje, protože vyplývají ze samé podstaty toho, co po nás chcete (přihlásit vás, načíst data).","","pravni text — pravdepodobne nemenit"
"cookies.jake.nezbytne.sb","/cookies","Jaké cookies používáme","Odstavec","sb-access-token, sb-refresh-token — Supabase autentizace. Drží vás přihlášené. Bez nich by vás stránka odhlásila po každém kliknutí. Platnost 7 dní.","","pravni text — pravdepodobne nemenit"
"cookies.jake.nezbytne.promo","/cookies","Jaké cookies používáme","Odstavec","vzp-promo-dismissed — Pamatuje si, že jste zavřeli horní promo lištu, ať se nezobrazuje znovu. Platnost 30 dní.","","pravni text — pravdepodobne nemenit"
"cookies.jake.nezbytne.consent","/cookies","Jaké cookies používáme","Odstavec","vzp-cookie-consent — Pamatuje si vaši volbu ohledně volitelných cookies, ať se vás neptáme znovu. Platnost 12 měsíců.","","pravni text — pravdepodobne nemenit"
"cookies.jake.analyticke.h3","/cookies","Jaké cookies používáme","Podnadpis","Analytické — jen po souhlasu","",""
"cookies.jake.analyticke.intro","/cookies","Jaké cookies používáme","Odstavec","Pomáhají nám pochopit, které stránky lidé navštěvují a kde se zasekávají. Žádná identifikace jednotlivců, žádné prodávání dat.","","pravni text — pravdepodobne nemenit"
"cookies.jake.analyticke.pk","/cookies","Jaké cookies používáme","Odstavec","_pk_id, _pk_ses (Plausible/Umami) — Anonymní statistiky návštěvnosti. IP adresy se hashují, nikdy neukládáme celou adresu. Platnost 30 minut (relace) / 13 měsíců (návratnost).","","pravni text — pravdepodobne nemenit"
"cookies.jake.nikdy.h3","/cookies","Jaké cookies používáme","Podnadpis","Co u nás nikdy nenajdete","",""
"cookies.jake.nikdy.item1","/cookies","Jaké cookies používáme","Odrazka","Reklamní cookies třetích stran (Google Ads, Meta, TikTok).","","pravni text — pravdepodobne nemenit"
"cookies.jake.nikdy.item2","/cookies","Jaké cookies používáme","Odrazka","Trackingové pixely pro retargeting.","","pravni text — pravdepodobne nemenit"
"cookies.jake.nikdy.item3","/cookies","Jaké cookies používáme","Odrazka","Cookies sdílené napříč weby (third-party). Všechny naše cookies jsou first-party.","","pravni text — pravdepodobne nemenit"
"cookies.sprava.h2","/cookies","Jak souhlas spravovat","Nadpis","Jak souhlas spravovat","",""
"cookies.sprava.intro","/cookies","Jak souhlas spravovat","Odstavec","Při první návštěvě se objeví lišta, kde můžete volitelné cookies odmítnout nebo přijmout. Volbu lze kdykoliv změnit:","","pravni text — pravdepodobne nemenit"
