id,stranka,sekce,typ,soucasne_copy,nove_copy,poznamka
"home.gallery.lede","/","Co píší rodiny","Odstavec","Tohle nám píší rodiny, když knížka dorazí.","",""
"home.gallery.card1.role","/","Co píší rodiny","Stitek","Vyprávěla","","role u fotky"
"home.gallery.card1.quote","/","Co píší rodiny","Citace","„Bylo to jako otevřít zásuvku, kterou jsem padesát let nezavřela.”","",""
"home.gallery.card1.cite","/","Co píší rodiny","Atribuce","Marie V., 78 let, Třebíč","",""
"home.gallery.card2.role","/","Co píší rodiny","Stitek","Koupila mámě","","role u fotky"
"home.gallery.card2.quote","/","Co píší rodiny","Citace","„Máma poprvé v životě něco používá sama. A těší se na pondělí.”","",""
"home.gallery.card2.cite","/","Co píší rodiny","Atribuce","Jana M., dcera, Brno","",""
"home.gallery.card3.role","/","Co píší rodiny","Stitek","Koupila tátovi","","role u fotky"
"home.gallery.card3.quote","/","Co píší rodiny","Citace","„Táta nic nepíše. Ale když má vyprávět, nezavře pusu.”","",""
"home.gallery.card3.cite","/","Co píší rodiny","Atribuce","Pavla W., dcera, Plzeň","",""
"home.gallery.card4.role","/","Co píší rodiny","Stitek","Pro vnoučata","","role u fotky"
"home.gallery.card4.quote","/","Co píší rodiny","Citace","„Holky si pouští babiččin hlas na dobrou noc. Místo pohádky.”","",""
"home.gallery.card4.cite","/","Co píší rodiny","Atribuce","Petra K., matka, Praha","",""
"home.nowriting.h2","/","Bez psaní","Nadpis","Otestováno babičkami. Schváleno rodinou.","",""
"home.nowriting.tile1.label","/","Bez psaní","Stitek","Bez psaní","",""
"home.nowriting.tile2.label","/","Bez psaní","Stitek","Bez stahování","",""
"home.nowriting.tile3.label","/","Bez psaní","Stitek","Bez aplikací","",""
"home.nowriting.cta","/","Bez psaní","Tlacitko","Podívat se, jak to funguje","",""
"home.tech.eyebrow","/","Technologie","Eyebrow","Technologie","",""
"home.tech.h2","/","Technologie","Nadpis","Mluvené slovo, otištěné na papír.","",""
"home.tech.lede","/","Technologie","Odstavec","Hlas do příběhu převede nahrávku na plynulý text — a zachová jejich rytmus, jejich slova, jejich vrstvu. Můžete upravit, zkrátit, doplnit. Nikdy nepřepsat.","",""
"home.tech.link","/","Technologie","Odkaz","Ukázka přepisu","",""
"home.founder.h2","/","Náš příběh","Nadpis","Náš příběh","",""
"home.founder.p1","/","Náš příběh","Odstavec","Vzpomínkář není nový nápad. V devatenáctém století žila v měšťanských i sedláckých rodinách tradice písmáctví. Lidé si vedli pamětní knihy. Zapisovaly se křty, svatby, smrti. Roky úrody i hladu. Kdo narukoval. Kdo se vrátil. Co bylo v rozhlase, když přišel Mnichov.","",""
"home.founder.p2","/","Náš příběh","Odstavec","Kniha putovala z generace na generaci. Přežila pád monarchie. Přežila dvě světové války. Ale papír je papír. Někdy se ztratila při stěhování, někdy shořela s domem, někdy nasákla vodou ve sklepě. Dříve nebo později skoro vždycky.","",""
"home.founder.p3","/","Náš příběh","Odstavec","Někdy ve druhé polovině dvacátého století se to vytratilo. Z domácností, ze stolu, ze zvyku. Možná za to mohla televize. Možná stěhování do měst a menší byty. Možná to, že nás je v jedné kuchyni najednou méně. V každém případě jsme během dvou generací zapomněli, jak se to dělá.","",""
"home.founder.p4","/","Náš příběh","Odstavec","Tak vznikl Vzpomínkář. Stará tradice, jen s pojistkou proti ohni a povodni. A s hlasem u každé kapitoly.","",""
"home.founder.signature","/","Náš příběh","Atribuce","Jakub","","podpis"
"home.founder.author.name","/","Náš příběh","Atribuce","Jakub Š.","",""
"home.founder.author.role","/","Náš příběh","Atribuce","Zakladatel, Vzpomínkář","",""
"home.founder.link","/","Náš příběh","Odkaz","Více o našem příběhu","",""
"home.gift.eyebrow","/","Dárek","Eyebrow","Dárek","",""
"home.gift.h2","/","Dárek","Nadpis","Dárek, který se rozbalí v určený den.","",""
"home.gift.p","/","Dárek","Odstavec","Vyberte datum. Pošleme dárek e-mailem v den, který si přejete — nebo si vytiskněte plátěný certifikát doma a vložte do obálky.","",""
"home.gift.cta","/","Dárek","Tlacitko","Darovat Vzpomínkář ↗","",""
"home.companion.card.h3","/","Dárek","Podnadpis","Kniha vzpomínek","","companion card"
"home.companion.card.p","/","Dárek","Odstavec","Klasická vyplňovací kniha jako dárek. Otázky napříč šesti životními obdobími — blízký je vyplní vlastní rukou.","",""
"home.faq.eyebrow","/","FAQ","Eyebrow","Časté otázky","",""
"home.faq.h2","/","FAQ","Nadpis","Na co se nás často ptáte.","",""
"home.faq.q1","/","FAQ","FAQ-otazka","Zvládne to babička, která nikdy nepoužívala chytrý telefon?","",""
"home.faq.q1.a","/","FAQ","FAQ-odpoved","Ano. E-mail přijde s odkazem, který otevře jednu obrazovku s velkým červeným tlačítkem. Stisknout, mluvit, pustit. Žádné aplikace, žádná hesla, žádné instalace. Otestovali jsme to v zařízeních pro seniory v Třebíči a v Brně — funguje to.","",""
"home.faq.q2","/","FAQ","FAQ-otazka","Co když maminka jeden týden vyprávět nestihne?","",""
"home.faq.q2.a","/","FAQ","FAQ-odpoved","Pošleme jemnou připomínku v úterý. Nebo si můžete otázky zastavit a vrátit se k nim, až se to bude hodit. Žádné pokuty, žádný tlak. Vyprávění by mělo být radost, ne povinnost.","",""
"home.faq.q3","/","FAQ","FAQ-otazka","Co všechno je v ceně?","",""
"home.faq.q3.a","/","FAQ","FAQ-odpoved","Padesát dva otázek, rok neomezeného nahrávání, jeden výtisk vázané knihy doručený v plátěné krabičce, QR kódy s nahrávkami u každé kapitoly, archiv všech nahrávek ke stažení a pozvánky pro celou rodinu.","",""
"home.faq.q4","/","FAQ","FAQ-otazka","A co bude po roce?","",""
"home.faq.q4.a","/","FAQ","FAQ-odpoved","Můžete pokračovat dalším rokem — některé rodiny dělají tři. Můžete objednat další výtisky pro sourozence nebo vnoučata. Nebo můžete skončit a všechno si stáhnout. Vaše hlasy zůstávají vaše.","",""
"home.faq.q5","/","FAQ","FAQ-otazka","Můžu upravit, co se v knize objeví?","",""
"home.faq.q5.a","/","FAQ","FAQ-odpoved","Před tiskem vám pošleme náhled. Vyberete, které příběhy zařadit, opravíte přepisy, doplníte fotografie. Babička nikdy nečte to, co napsal stroj — vždycky to, co schválila rodina.","",""
"home.faq.q6","/","FAQ","FAQ-otazka","Co když Vzpomínkář jednou skončí?","",""
"home.faq.q6.a","/","FAQ","FAQ-odpoved","Nahrávky a texty si stáhnete kdykoliv. Kniha je fyzická — zůstane vám i kdyby internet zítra zmizel. To je vlastně celý smysl: dělat něco, co přežije software.","",""
"home.faq.cta.link","/","FAQ","Odkaz","Všechny otázky a odpovědi","",""
"home.signup.eyebrow","/","Ochutnávka","Eyebrow","Ochutnávka — sleva 200 Kč","",""
"home.signup.h2","/","Ochutnávka","Nadpis","Pošleme ukázku knihy a slevový kód 200 Kč.","",""
"home.signup.lede","/","Ochutnávka","Odstavec","Podívejte se, jak Vzpomínkář funguje, ještě než cokoliv zaplatíte. Pošleme vám jeden e-mail — s ukázkou skutečné knihy a slevovým kódem na 200 Kč. Žádný spam, žádné triky.","",""
"home.signup.status.success","/","Ochutnávka","Odstavec","Děkujeme. E-mail s ukázkou knihy a slevovým kódem na 200 Kč dorazí do vaší schránky během chvíle.","","stavova hlaska po uspesnem odeslani"
"home.signup.status.error","/","Ochutnávka","Odstavec","E-mail se nepodařilo odeslat. Zkuste to prosím ještě jednou.","","stavova hlaska pri chybe"
"home.signup.status.consent","/","Ochutnávka","Odstavec","Abychom vám mohli ukázku poslat, zaškrtněte prosím souhlas níže.","","stavova hlaska pri chybejicim souhlasu"
"home.signup.form.email.placeholder","/","Ochutnávka","Formular-label","vase@email.cz","","placeholder pole e-mail"
"home.signup.form.email.aria","/","Ochutnávka","Formular-label","E-mailová adresa","","aria-label pole e-mail"
"home.signup.form.submit","/","Ochutnávka","Tlacitko","Poslat ukázku ↗","",""
"home.signup.form.consent.aria","/","Ochutnávka","Formular-label","Souhlas se zasláním ukázky e-mailem","","aria-label zaškrtavatka souhlasu"
"home.signup.form.consent","/","Ochutnávka","Formular-label","Souhlasím, že mi Vzpomínkář může poslat ukázku a občasné tipy e-mailem (kdykoli se odhlásíte).","","pravni text — pravdepodobne nemenit"
"home.signup.disclaimer","/","Ochutnávka","Odstavec","Pošleme vám jeden e-mail. Odhlásit se můžete jedním klikem.","",""
"home.footer.left.h2","/","Patička","Nadpis","Staré příběhy, nová generace.","",""
"home.footer.col1.h4","/","Patička","Podnadpis","Procházet","",""
"home.footer.col1.link1","/","Patička","Odkaz","Jak to funguje ↗","",""
"home.footer.col1.link2","/","Patička","Odkaz","Produkt ↗","",""
"home.footer.col1.link3","/","Patička","Odkaz","Ceník ↗","",""
"home.footer.col1.link4","/","Patička","Odkaz","Časté otázky ↗","",""
"home.footer.col2.h4","/","Patička","Podnadpis","Dárek","",""
"home.footer.col2.link1","/","Patička","Odkaz","Vzpomínkář jako dárek ↗","",""
"home.footer.col2.link2","/","Patička","Odkaz","Kniha vzpomínek ↗","",""
"home.footer.col2.h4b","/","Patička","Podnadpis","O nás","",""
"home.footer.col2.link3","/","Patička","Odkaz","Náš příběh ↗","",""
"home.footer.col2.link4","/","Patička","Odkaz","Kontakt ↗","",""
"home.footer.logo.alt","/","Patička","Popisek-obrazku","Vzpomínkář","","aria-label loga v paticce"
"home.footer.bottom.copyright","/","Patička","Poznamka","© 2026 Vzpomínkář","",""
"home.footer.bottom.terms","/","Patička","Odkaz","Podmínky","",""
"home.footer.bottom.privacy","/","Patička","Odkaz","Soukromí","",""
"home.footer.bottom.cookies","/","Patička","Odkaz","Cookies","",""
"home.sticky.cta.aria","/","Sticky CTA (mobil)","Popisek-obrazku","Začít sbírat vzpomínky","","aria-label sticky regionu"
"home.sticky.cta.note","/","Sticky CTA (mobil)","Odstavec","2 890 Kč jednorázově · první kniha v ceně","",""
