id,stranka,sekce,typ,soucasne_copy,nove_copy,poznamka
"onas.team.person3.role","/o-nas","Lidé za knihou","Atribuce","Tisk a vazba","",""
"onas.trust.eyebrow","/o-nas","Náš slib","Eyebrow","Náš slib","",""
"onas.trust.h2","/o-nas","Náš slib","Nadpis","Co u nás vždycky platí.","",""
"onas.trust.item1","/o-nas","Náš slib","Odrazka","Lidský korektor čte každou nahrávku, kterou pošleme do tisku.","",""
"onas.trust.item2","/o-nas","Náš slib","Odrazka","Knihu vážeme ručně v malé tiskárně na Smíchově, ne v zahraničí.","",""
"onas.trust.item3","/o-nas","Náš slib","Odrazka","Data zpracováváme podle GDPR — žádné AI tréninky, žádné prodávání dál.","","pravni text — pravdepodobne nemenit"
"onas.trust.item4","/o-nas","Náš slib","Odrazka","Když napíšete, ozve se vám člověk, ne chatbot. Většinou do hodiny.","",""
"onas.trust.item5","/o-nas","Náš slib","Odrazka","Vaše vzpomínky si můžete kdykoliv stáhnout nebo nechat smazat.","",""
"onas.finalcta.eyebrow","/o-nas","Závěrečné CTA","Eyebrow","Začněte dnes","",""
"onas.finalcta.heading","/o-nas","Závěrečné CTA","Nadpis","Pošlete vašemu blízkému první otázku.","",""
"onas.finalcta.lede","/o-nas","Závěrečné CTA","Odstavec","Jednorázově, přístup napořád — bez předplatného.","",""
"onas.finalcta.button","/o-nas","Závěrečné CTA","Tlacitko","Založit Vzpomínkář","","vychozi label z PrimaryCta (stranka label nepredava); max ~25 znaku (tlacitko)"
"onas.finalcta.footer","/o-nas","Závěrečné CTA","Odkaz","Nebo si přečtěte, jak to celé funguje.","","odkaz na /jak-to-funguje"
